S,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
185,Soleil,Rom?o Elvis,261523,https://open.spotify.com/track/5SNfvgi4TUwx4Si0lFn3G2
186,J'oublie tout,Jul,260923,https://open.spotify.com/track/0SKNkEMV313mE6oYsgVCgm
187,everything i wanted,Billie Eilish,260887,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
188,Le temps est bon,Bon Entendeur,259859,https://open.spotify.com/track/2U5kSevItDmL0XzSDyemRp
189,Blanka,PNL,258267,https://open.spotify.com/track/295SxdR1DqunCNwd0U767w
190,Shallow,Lady Gaga,258226,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
191,In My Mind,Dynoro,256315,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
192,Rose rouge,Rim'K,253892,https://open.spotify.com/track/598LAMCCrDfqmJxw0HnWeD
193,C'est pas grave,Columbine,253560,https://open.spotify.com/track/7MPC1qtCR74fdc9jNdFHeH
194,Feu de bois,Damso,252320,https://open.spotify.com/track/4L0Iwsk1s8cbdBcEgdm8K5
195,J'aime Bien!,Josman,251582,https://open.spotify.com/track/7bg469g8qRoMwFQf6Vleh3
196,lovely (with Khalid),Billie Eilish,250343,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
197,Wouna,Tsew The Kid,249593,https://open.spotify.com/track/4F3aWMbVZdnr69ngGVt1Ur
198,Savage,Megan Thee Stallion,248844,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
199,Adore You,Harry Styles,248566,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
200,1000ÅãC,Lomepal,248275,https://open.spotify.com/track/6l7PqWKsgm4NLomOE7Veou
