,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
174,F.N,"Lil Tjay",361901,https://open.spotify.com/track/0UPBidRYcgJ2mjZlk08V8x
175,"How to disappear","Lana Del Rey",361894,https://open.spotify.com/track/4qUtC2BwFC154Ha8YQRrkk
176,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",359429,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
177,"Graduation (with Juice WRLD)","benny blanco",358271,https://open.spotify.com/track/6cjSh516BbrNUs213jDAGm
178,Toast,Koffee,356570,https://open.spotify.com/track/7sd72KZS8D59g5NmhxyHpJ
179,Better,Khalid,355801,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
180,"Death By A Thousand Cuts","Taylor Swift",355335,https://open.spotify.com/track/2dgFqt3w9xIQRjhPtwNk3D
181,One,"Lewis Capaldi",351449,https://open.spotify.com/track/5C1TucCRf4Vjjree1OItyv
182,"Take Me Back To London (Sir Spyro Remix) [feat. Stormzy, Jaykae & Aitch]","Ed Sheeran",351214,https://open.spotify.com/track/4iYxrnTvYsTtyphOTqTvkh
183,"Love of My Life (feat. Not3s & Young Adz)",Remedee,350576,https://open.spotify.com/track/3wPTI3G39TG3kxR5ybhrzK
184,Teardrops,Kano,349767,https://open.spotify.com/track/4quLFynhSUFOO3em1GOMvO
185,"Love Me Again",RAYE,349243,https://open.spotify.com/track/4QbX1M5JblYzGTVwdZTgfb
186,Perfect,"Ed Sheeran",348107,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
187,"Go Your Own Way - 2004 Remaster","Fleetwood Mac",347625,https://open.spotify.com/track/07GvNcU1WdyZJq3XxP0kZa
188,Sixteen,"Ellie Goulding",346848,https://open.spotify.com/track/4PkIDTPGedm0enzdvilLNd
189,"Party In The U.S.A.","Miley Cyrus",346124,https://open.spotify.com/track/3E7dfMvvCLUddWissuqMwr
190,"One Kiss (with Dua Lipa)","Calvin Harris",345731,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
191,"God's Plan",Drake,345083,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
192,"No Diet","Digga D",341896,https://open.spotify.com/track/3HUb7feX3gdnzZVEHy5yFj
193,Believer,"Imagine Dragons",341665,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
194,September,"Earth, Wind & Fire",341368,https://open.spotify.com/track/1mqlc0vEP9mU1kZgTi6LIQ
195,"This Is Me","Keala Settle",341074,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U
196,"Daily Duppy (feat. GRM Daily)",Aitch,340086,https://open.spotify.com/track/39PP9AowEIoqIqgDtPcSlN
197,"Will We Talk?","Sam Fender",339855,https://open.spotify.com/track/6XVQ2jSrYEanva8mFZHr3y
198,"Going Bad (feat. Drake)","Meek Mill",339840,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
199,"ocean eyes","Billie Eilish",338709,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
200,"Eat, Sleep, Wake (Nothing But You) - Single Version","Bombay Bicycle Club",338471,https://open.spotify.com/track/30Ih2VLYmGIWameeQeyaDr
