,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
150,"when the party's over","Billie Eilish",207351,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
151,"Be Honest (feat. Burna Boy)","Jorja Smith",206946,https://open.spotify.com/track/5pAbCxt9e3f81lOmjIXwzd
152,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",206923,https://open.spotify.com/track/40OMBMYRk5IQL6xCzGM0JA
153,Tijdbom,Jack,205859,https://open.spotify.com/track/7jk2j8WMP7FiZLhshBt6xE
154,"Money In The Grave (Drake ft. Rick Ross)",Drake,205739,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
155,"Lost Without You",Krezip,205077,https://open.spotify.com/track/51wraBsCPN2svE8Ircwmlr
156,Verboden,KM,201247,https://open.spotify.com/track/2OlLSrD5vlLmLPfa0Ohwfs
157,"Ride or Die","Djaga Djaga",201022,https://open.spotify.com/track/070Pfkehv3PXI2WNtFswLc
158,"Pretty Girl Vybez (feat. Jayh)",Jayboogz,200590,https://open.spotify.com/track/6S8Axo8bETHs08amKbpVDR
159,"Geen Rem",Mensa,199645,https://open.spotify.com/track/7cU52fKPh3m91Wt7QZpnkl
160,Rompe,Priceless,199338,https://open.spotify.com/track/4YaKdKVcrM6Gf5ZALtp0gI
161,"Long Way Home","Lucas & Steve",199255,https://open.spotify.com/track/1zZPjx3m2M604sI7GpI2ZR
162,Africa,TOTO,199141,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
163,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",199010,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
164,Sterrenstof,"De Jeugd Van Tegenwoordig",198989,https://open.spotify.com/track/7D5vAulNfrQV6xEwzgH0OF
165,"3 Nights","Dominic Fike",197958,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
166,"New Light","John Mayer",197906,https://open.spotify.com/track/40FLJc17FMZaPmCQEEZgB0
167,"Rescue Me",OneRepublic,197374,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
168,Spiegelbeeld,"Suzan & Freek",196159,https://open.spotify.com/track/43nBXdQvogPKHqRQEIqjeM
169,"Die For Me (feat. Future & Halsey)","Post Malone",195333,https://open.spotify.com/track/2C6WXnmZ66tHhHlnvwePiK
170,"Sweet but Psycho","Ava Max",194983,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
