,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
123,"In Your Eyes","The Weeknd",5926336,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
124,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",5925025,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
125,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",5919696,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
126,Relación,Sech,5912004,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
127,"Jocelyn Flores",XXXTENTACION,5878474,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
128,"Got It On Me","Pop Smoke",5871071,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
129,"La Nota","Manuel Turizo",5860086,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
130,"Caramelo - Remix",Ozuna,5845511,https://open.spotify.com/track/67jvGGbJmOmVonlyX3mNkV
131,"everything i wanted","Billie Eilish",5833259,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
132,"Quiéreme Mientras Se Pueda","Manuel Turizo",5774853,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
133,"Someone To You",BANNERS,5769003,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr
134,Perfect,"Ed Sheeran",5721873,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
135,"Bande organisée","13 Organisé",5706019,https://open.spotify.com/track/6YzQOngfcV0W9F8UOTnEEK
136,"I Don't Care (with Justin Bieber)","Ed Sheeran",5687266,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
137,"24 (feat. Lil Baby)","Money Man",5674483,https://open.spotify.com/track/0xUvi7wldroBzaZCengPa5
138,MAMACITA,"Black Eyed Peas",5671683,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3
139,"All Girls Are The Same","Juice WRLD",5661563,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
140,"Shape of You","Ed Sheeran",5589895,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
141,"Say So","Doja Cat",5581852,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
142,Rojo,"J Balvin",5513652,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
143,"7 rings","Ariana Grande",5510195,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
144,"Stunnin' (feat. Harm Franklin)","Curtis Waters",5494811,https://open.spotify.com/track/2JSmxLqt8h7ZpJJkfuLJvK
145,"Bohemian Rhapsody - Remastered 2011",Queen,5489040,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
146,"Hasta Que Dios Diga","Anuel AA",5456599,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
147,"All of Me","John Legend",5453315,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
148,"Sunday Best",Surfaces,5405776,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
149,SAD!,XXXTENTACION,5380105,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
150,"Be Alright","Dean Lewis",5324886,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
151,"You Never Know",BLACKPINK,5304382,https://open.spotify.com/track/39kzWAiVPpycdMpr745oPj
152,"THE SCOTTS","THE SCOTTS",5292384,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
153,"Madrid (feat. Myke Towers)",Maluma,5273354,https://open.spotify.com/track/19OXtYzrJyCrQvTbfukt4H
154,"rockstar (feat. 21 Savage)","Post Malone",5272058,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
