,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,streams,country,id
106,Bandit (with YoungBoy Never Broke Again),0.0687,0.474,0.631,0.0,0.132,-5.884,0,0.343,180.051,4,0.425,297139,Australia,6Gg1gjgKi2AK4e0qzsR7sd
107,Takeaway (feat. Lennon Stella),0.12,0.294,0.505,0.0,0.0977,-8.106,1,0.042,85.332,1,0.357,296937,Australia,6wo37KVqFJhtuxPTpLCcfe
108,What Lies Ahead,0.000776,0.506,0.822,0.0053,0.0907,-3.884,1,0.0318,151.992,4,0.517,295596,Australia,10QIy0kzHUXzZ0Oj8PIO8Z
109,Zielen,0.225,0.768,0.548,0.0,0.197,-7.762,0,0.393,122.363,5,0.234,295443,Australia,2WctQx7CXSVbxF3fXiaisp
110,Pina/Some More,0.0332,0.705,0.536,0.0,0.0779,-7.295,0,0.504,63.116,5,0.384,294196,Australia,71pMYGfliLcilHRMGPHtn2
111,Niet Meer,0.213,0.665,0.705,0.0,0.102,-5.066,1,0.395,100.085,4,0.564,293479,Australia,2ea8npXr3hf6COAATpWmLN
112,GUAP (feat. Dopebwoy),0.259,0.704,0.716,3.08e-06,0.0804,-6.202,1,0.327,119.819,5,0.901,293259,Australia,3J6KEr0wjZbKPpa70cXzHI
113,Good Thing (with Kehlani),0.399,0.693,0.564,0.0,0.0409,-3.857,0,0.0378,185.913,3,0.574,288131,Australia,5aUSEPNd3m5xliFK4pn5mU
114,Lalala,0.178,0.843,0.39,0.0,0.137,-7.899,1,0.0846,129.972,4,0.495,285346,Australia,51Fjme0JiitpyXKuyQiCDo
115,Ghetto Youth,0.00252,0.813,0.79,0.0124,0.0552,-4.303,1,0.0897,93.008,4,0.332,282216,Australia,4v0DontD9QPBxyqfvEZyhT
116,Tan2 Ducks,0.127,0.701,0.831,0.0,0.143,-4.307,0,0.0935,107.974,4,0.555,276305,Australia,1OK9SNPLtOZU6RqFsgnjUJ
117,Don't Call Me Up,0.296,0.674,0.881,3.01e-06,0.0793,-2.853,1,0.147,98.994,4,0.234,275451,Australia,5WHTFyqSii0lmT9R21abT8
118,Je Kent ’t Wel,0.0215,0.865,0.915,0.0,0.11,-4.987,1,0.172,120.032,4,0.729,273443,Australia,4wR3kb7ZhEwyy1L5SVhd7C
119,Hoe Dan? - Remix,0.0237,0.831,0.599,1.07e-06,0.352,-5.396,0,0.244,142.018,4,0.355,272882,Australia,3mi7rG1mxsYhqYPDQJDWsy
120,Bad To You (with Normani & Nicki Minaj),0.065,0.727,0.583,0.0,0.106,-7.385,0,0.0718,147.983,4,0.629,272200,Australia,7vJS1DPc3FzBtqBs8n3mW5
121,Shallow,0.371,0.572,0.385,0.0,0.231,-6.362,1,0.0308,95.799,4,0.323,271889,Australia,2VxeLyX666F8uXCJ0dZF8B
122,All I Want for Christmas Is You,0.164,0.336,0.627,0.0,0.0708,-7.463,1,0.0384,150.273,4,0.35,271698,Australia,0bYg9bo50gSsH3LtXe2SQn
123,Day One,0.0311,0.511,0.498,0.0,0.0921,-9.209,0,0.157,127.855,5,0.245,268230,Australia,7tows6PIl8Q0LOZhw7xRGJ
124,Home (feat. Bonn),0.0655,0.466,0.612,4.07e-06,0.132,-4.855,0,0.0307,128.114,4,0.236,266221,Australia,4aTtHoSBB0CuQGA6vXBNyp
125,Lange Jas,0.192,0.643,0.667,1.55e-06,0.129,-7.278,0,0.235,154.972,4,0.478,265156,Australia,3RQ84PWOi798ZemUrReaaa
126,Hey Hallo,0.0227,0.777,0.754,7.31e-05,0.216,-6.0,0,0.108,102.043,4,0.724,261849,Australia,6AoHaPz57CceQp0IvjZduw
127,Godswonder,0.483,0.743,0.59,2.47e-05,0.188,-7.281,0,0.196,88.979,4,0.47,257706,Australia,470mhgwwYbCrBvukHBhFlz
128,IJskoud,0.0434,0.668,0.73,0.0109,0.368,-6.573,1,0.0476,98.024,4,0.146,253404,Australia,2zVNIG9cfMyFxt8XqJ64s4
129,Panini,0.342,0.703,0.594,0.0,0.123,-6.146,0,0.0752,153.848,4,0.475,252877,Australia,1000nHvUdawXuUHgBod4Wv
130,Oversized,0.0369,0.635,0.746,6.39e-06,0.106,-6.862,0,0.0344,142.017,4,0.598,252551,Australia,3vCET9EdMLvWemFb2dWga4
131,POSITIE,0.0117,0.793,0.875,2.01e-06,0.0757,-6.872,1,0.124,103.022,4,0.808,252412,Australia,5dVXY5359o7XBmfoNCBMxg
132,On the Low,0.692,0.816,0.781,0.00935,0.0835,-4.237,0,0.0425,99.95,4,0.937,250364,Australia,1PoJXULCvl03b1fiZmMxmd
133,Ik Mis Je,0.4,0.679,0.568,3.59e-05,0.0732,-7.564,0,0.106,188.066,4,0.712,250027,Australia,71pdnPwplhMtpcz8UUL4rB
134,Shooter,0.327,0.81,0.597,2.77e-06,0.112,-10.309,1,0.407,143.127,4,0.266,248604,Australia,7y2r0n2RRnLhoqSCiysFFa
135,Suave,0.085,0.774,0.749,6.79e-06,0.828,-6.185,1,0.043,116.02,4,0.702,246993,Australia,543jc5bZ2kTSfTcqRCy327
136,Old Town Road - Remix,0.0533,0.878,0.619,0.0,0.113,-5.56,1,0.102,136.041,4,0.639,246560,Australia,2YpeDb67231RjR0MgVLzsG
137,Verleden Tijd,0.131,0.771,0.661,5.45e-06,0.114,-6.718,1,0.0916,104.884,4,0.183,241659,Australia,7qkqUFKET2tAjVHLxlLYOe
138,TikTok (feat. Boef),0.094,0.818,0.49,0.00499,0.129,-7.459,1,0.274,158.027,4,0.61,241211,Australia,6X8HX33uK8ZVRXjdlQ4wCV
139,Kilometers,0.0329,0.695,0.851,1.22e-06,0.246,-3.986,0,0.163,170.054,4,0.466,240667,Australia,2lRp4uhpmkkWZpKHiab1xs
140,Ai,0.241,0.837,0.726,0.0,0.0702,-5.938,1,0.0516,93.017,4,0.823,236567,Australia,2dEoEy7wqvJ4xq90lrPEwU
141,Hoelang,0.166,0.783,0.78,4.56e-06,0.296,-5.577,0,0.131,97.015,4,0.752,236290,Australia,7mQyOl9OoXnKV3IdMx9dK4
142,Het Gaat Niet Meer,0.551,0.706,0.488,4.18e-06,0.117,-7.192,0,0.0987,97.058,4,0.416,233589,Australia,2n6QyXGHrZGngNaZTpHR60
143,BON VIBES,0.125,0.727,0.698,0.0,0.153,-5.613,1,0.127,105.286,4,0.663,233325,Australia,2zlp91MvE7y89ptUqPfPA2
144,Arcade,0.818,0.45,0.329,0.00109,0.135,-12.603,0,0.0441,71.884,3,0.266,233008,Australia,1Xi84slp6FryDSCbzq4UCD
145,Give Dem,0.0261,0.906,0.72,0.00383,0.0542,-4.056,0,0.134,102.99,4,0.645,232477,Australia,1u2XfTsJai4u33yapHLzap
146,Tis Oke Mop,0.24,0.877,0.732,0.0,0.116,-5.937,1,0.273,101.037,4,0.482,231984,Australia,52BJZ4RgOfA6doHycdhKfL
147,Op De Weg,0.12,0.729,0.68,1.24e-05,0.132,-9.437,0,0.2,90.055,4,0.23,231366,Australia,5BK6VOih24mBmoQnjEqf0G
148,Scherp,0.0746,0.768,0.839,0.0,0.0739,-5.914,0,0.141,94.05,4,0.884,230741,Australia,3EwZENvkTpMm0Q2l89pb3x
149,What Am I,0.0687,0.614,0.647,0.0,0.104,-4.681,0,0.0524,163.862,4,0.368,229416,Australia,0TMGV2zMZXOILVtQLtkI3G
150,Hard 2 Get,0.165,0.681,0.719,8.65e-06,0.117,-7.071,1,0.236,200.441,4,0.659,228581,Australia,5aDKZysYr35N9Y0peupNXa
151,China,0.0846,0.786,0.808,0.000289,0.0822,-3.702,1,0.0882,105.027,4,0.609,226170,Australia,2ksOAxtIxY8yElEWw8RhgK
152,Reünie - Outsiders Remix,0.493,0.616,0.928,0.0,0.306,-3.106,0,0.119,90.0,4,0.268,226164,Australia,5eacLGlDeiJHgDpoeWazVC
153,Sunflower - Spider-Man: Into the Spider-Verse,0.533,0.755,0.522,0.0,0.0685,-4.368,1,0.0575,89.96,4,0.925,223615,Australia,0RiRZpuVRbi7oqRdSMwhQY
154,Bruises,0.946,0.736,0.308,0.0,0.186,-7.83,1,0.0677,111.202,4,0.361,222476,Australia,4Of7rzpRpV1mWRbhp5rAqG
155,Take What You Want (feat. Ozzy Osbourne & Travis Scott),0.0906,0.499,0.8,0.0,0.147,-2.665,0,0.0502,139.919,4,0.272,221662,Australia,7CZyCXKG6d5ALeq41sLzbw
156,No Regrets,0.192,0.786,0.557,3.58e-05,0.117,-8.507,0,0.197,139.99,4,0.509,220780,Australia,7s5nqiFzOZ32CAnoSE7Dpt
157,Panamera,0.0732,0.88,0.712,0.000184,0.0881,-6.168,1,0.161,130.075,4,0.741,220671,Australia,2S4exmZO3aVEcoxLdKhC47
158,Walou Crisis (feat. 3robi & Mula B),0.218,0.67,0.639,0.000379,0.302,-7.238,0,0.164,118.034,4,0.799,218649,Australia,4cEEHXGY0dsKtwmGFwhr9V
159,Hot (Remix) [feat. Gunna and Travis Scott],0.188,0.845,0.631,0.0,0.0806,-8.206,0,0.216,111.983,4,0.545,217277,Australia,56AMYGJzxBO6p8v0wEe9de
160,Getaway,0.238,0.772,0.741,0.0,0.0626,-3.653,1,0.0606,136.057,4,0.604,213867,Australia,0CZfJCxOtBzxRO3atrs7Hx
161,Whine Up,0.0549,0.817,0.665,0.0,0.103,-6.224,0,0.0758,104.957,4,0.662,212516,Australia,2pWOMNQJW3g2zmGjP0Vkb0
162,Stipt Op Tijd,0.191,0.542,0.752,0.0,0.239,-6.452,0,0.186,164.917,4,0.73,212287,Australia,3GZv6hnwGzxJis8TNxh7rV
163,Something Real (feat. Jordan Shaw),0.0446,0.575,0.808,0.0,0.0693,-4.578,1,0.0439,127.922,4,0.232,206431,Australia,6jblb0PtFaA6VfGbos0Dek
