,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
146,Leg,Capital Bra,472706,https://open.spotify.com/track/1fsDGaOPuMGv4lkdCA5yPK
147,Nur ein Tanz,Pietro Lombardi,469498,https://open.spotify.com/track/6oaNpCVXUtmG0eKxsPO6Uf
148,Zemër,Soolking,467336,https://open.spotify.com/track/68av1mZz0VsIYXJWATZWUW
149,Just You and I,Tom Walker,462958,https://open.spotify.com/track/03x2rVJRFUrvwlfxoHd9Mo
150,Wald,METRICKZ,462718,https://open.spotify.com/track/1jGWD9XXtRm9WZfsZiaqyp
151,DODI,Shindy,459220,https://open.spotify.com/track/63THFs9ovzO3WQsz4lzh0H
152,thank you,Lena,458954,https://open.spotify.com/track/6dcWHkIgaklSNeT8tQRfpS
153,Perfekt (feat. Sofiane),RAF Camora,458729,https://open.spotify.com/track/38KR9aB0bPkjM4gKhKr7tr
154,Fick Dein Ex,Lil Lano,457215,https://open.spotify.com/track/4WUbJBhwg1MB25H5dzvUbP
155,The River,Davin Herbrüggen,456058,https://open.spotify.com/track/4eCQtCHMN3k33xahmB9p9I
156,Selfie,Kianush,455472,https://open.spotify.com/track/4ihNy4Zb73oXgGBUT7I1s4
157,you should see me in a crown,Billie Eilish,454933,https://open.spotify.com/track/3XF5xLJHOQQRbWya6hBp7d
158,Eastside (with Halsey & Khalid),benny blanco,453389,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
159,Blech,Capital Bra,452603,https://open.spotify.com/track/5zeI6Co8KzH5EpQud4YY3Z
160,Sitzen auf Chrom,LX,450316,https://open.spotify.com/track/15hozX1BAMMndIG7ovyDZ7
161,Ohne mein Team,Bonez MC,448611,https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3
162,Melodien (feat. Juju),Capital Bra,446008,https://open.spotify.com/track/5d35jcJj7WjDQBOHCHPY6t
163,Ich liebe es (feat. XATAR & SAMY),Capital Bra,439506,https://open.spotify.com/track/71XGMPKmWtVxO7bGcGZhbn
164,Heartbreaker,Hava,437377,https://open.spotify.com/track/35PgxvWxm5nBOP2tb45lEZ
165,Last Hurrah,Bebe Rexha,435485,https://open.spotify.com/track/0i0wnv9UoFdZ5MfuFGQzMy
166,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",benny blanco,431323,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
167,Baila Baila Baila,Ozuna,430714,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
168,Power Over Me,Dermot Kennedy,426668,https://open.spotify.com/track/0OGNtqKkjI7FCE9HZ4Khgo
169,rockstar (feat. 21 Savage),Post Malone,423568,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
170,Paradise,Bazzi,419512,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG
171,Back to the Start,Michael Schulte,412744,https://open.spotify.com/track/2i2JtDSr6GbkRpTToH15SN
172,Mary Jane,Sami,412605,https://open.spotify.com/track/2KcUP4ALV0XSAbwyslORjb
173,Pure Water (with Migos),Mustard,411802,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
174,Meer,Luciano,410895,https://open.spotify.com/track/1LcvTvRfWrQjrF6aymfugd
175,all the good girls go to hell,Billie Eilish,410457,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
176,Tamam Tamam,Summer Cem,408157,https://open.spotify.com/track/2eRq2jwsZtb0uGH4qUsvT1
177,Träume werden wahr,MERO,406845,https://open.spotify.com/track/2GxHx0bbc0BK7Z0ChMJUtO
178,UFF,Veysel,406214,https://open.spotify.com/track/3Rq0ElVcisouAl71RtnTUS
179,Calma - Remix,Pedro Capó,400519,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
180,Rise,Jonas Blue,397045,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
181,Promises (with Sam Smith),Calvin Harris,396963,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
182,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,395703,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
183,Farben,Kontra K,394941,https://open.spotify.com/track/6hFmSZIw5gmn9mK4hfqozy
184,So Close,NOTD,393508,https://open.spotify.com/track/7FjZU7XFs7P9jHI9Z0yRhK
185,Mercedes,Eno,391900,https://open.spotify.com/track/3FHppoOv1gMexzC9XyMCFz
186,G Klasse (feat. Lil Lano & M.O.030),King Khalil,389953,https://open.spotify.com/track/6Xt6kg1kGrZCi4gJhijxeT
187,Kolibri,KC Rebell,388691,https://open.spotify.com/track/0LA5AHhpC6tYKUiu7HX9uS
188,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,386285,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
189,Taste (feat. Offset),Tyga,386107,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
190,One Night Stand,Capital Bra,386057,https://open.spotify.com/track/3AXtDUSO78KrGa9Rq8rWUS
191,Better Now,Post Malone,385541,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
192,Nevermind,Dennis Lloyd,384447,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
193,Lelele,Azet,384256,https://open.spotify.com/track/61A9J4906Zkuqd22oasZVR
194,Blah Blah Blah,Armin van Buuren,383215,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
195,Lambo Diablo GT (feat. Nimo & Juju) - Remix,Capo,383113,https://open.spotify.com/track/3TMW1GOB1lsmvf8er2dE8g
196,Going Bad (feat. Drake),Meek Mill,383096,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
197,Bandolero (feat. Farid Bang),18 Karat,381091,https://open.spotify.com/track/2RXURiVJtfaXx6DeibL43f
198,Kampfgeist 4,Kontra K,380568,https://open.spotify.com/track/3TqjrBoN0waDh5nFINL2R8
199,Bohemian Rhapsody - Remastered 2011,Queen,378404,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
200,Abfahrt,FiNCH,377137,https://open.spotify.com/track/7sIQ5eF9ZmZY6lGGwZKaP9
