,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
144,Bruises,"Lewis Capaldi",5551398,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
145,"6 Kiss","Trippie Redd",5544673,https://open.spotify.com/track/7tgjDlQsMR8RvkdlNCJA58
146,Perfect,"Ed Sheeran",5517202,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
147,"11 PM",Maluma,5505457,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
148,"It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como",5504417,https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa
149,"If I Can't Have You","Shawn Mendes",5504401,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
150,"Get You The Moon (feat. Snøw)",Kina,5481659,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
151,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,5479753,https://open.spotify.com/track/4wopYJ5wpYOM6ogm2Jugnw
152,"Tip Toe (feat. A Boogie Wit da Hoodie)","Roddy Ricch",5459089,https://open.spotify.com/track/5j1yOqWONR9T6l43AzJ6Es
153,Orphans,Coldplay,5402485,https://open.spotify.com/track/03T4ttRCiLXST6MZjeMwmR
154,Blanco,"J Balvin",5381841,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
155,"Used To Love (with Dean Lewis)","Martin Garrix",5379962,https://open.spotify.com/track/7pWK1kMgHy5lNNiIfuRbkP
156,goosebumps,"Travis Scott",5377007,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
157,VALENTINO,24kGoldn,5365917,https://open.spotify.com/track/6piAUJJQFD8oHDUr0b7l7q
158,"Show Yourself","Idina Menzel",5332232,https://open.spotify.com/track/50WeOnXhM1H7AZEeIDoWfZ
159,"Talk (feat. Disclosure)",Khalid,5320783,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
