,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,
Position,Track Name,Artist,Streams,URL
128,Don't Call Me Up,Mabel,246485,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
129,Shape of You,Ed Sheeran,243707,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
130,Caught Up (feat. Khalid),Majid Jordan,243016,https://open.spotify.com/track/1opARDDYaOeE1QUdwXmBGu
131,I Like It,Cardi B,239987,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
132,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",Dreamville,239915,https://open.spotify.com/track/5WnfnSpuNEGXyEt78PBA6d
133,Noticed,Lil Mosey,238821,https://open.spotify.com/track/7zLYKWcXnYeHHWidalz7rj
134,Uno,Ambjaay,237748,https://open.spotify.com/track/3AEgic4yp82NxMWUjHtxnO
135,The Middle,Zedd,237130,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
136,Con Calma,Daddy Yankee,236996,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
137,God's Plan,Drake,235835,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
138,SAD!,XXXTENTACION,234896,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
139,My Type,Saweetie,234148,https://open.spotify.com/track/5KBARWIxeMGkvUax9VtVC9
140,Africa,TOTO,233972,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
141,Look What God Gave Her,Thomas Rhett,232638,https://open.spotify.com/track/2KqJC0koTBUyDlsMt5ok1V
142,Forever,Tory Lanez,232106,https://open.spotify.com/track/0oVxGuRMnawFgA8aduocfc
143,RNP (feat. Anderson .Paak),Cordae,231973,https://open.spotify.com/track/5lw8Mgb4LyhriPIC86gV6e
144,Hot Shower,Chance the Rapper,231739,https://open.spotify.com/track/00ko9WaS4jOX1kEk3gvHjf
145,i'm so tired...,Lauv,231587,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
146,Thunder,Imagine Dragons,230632,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
147,Love Me Less (feat. Quinn XCII),MAX,230358,https://open.spotify.com/track/2tOOcDDYkh0PSjr6GwPEAJ
148,Ready,Alessia Cara,227968,https://open.spotify.com/track/6l7lX8hJXVIUyPrTaabpqk
149,Love Ain't,Eli Young Band,227819,https://open.spotify.com/track/6lUNNXp7M8boA7gUEd6PSm
150,Believer,Imagine Dragons,227611,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
151,Fear Inoculum,TOOL,227199,https://open.spotify.com/track/4XW5PGlQ3S4B8Bti7meocj
152,"Hey Look Ma, I Made It",Panic! At The Disco,226362,https://open.spotify.com/track/22oEJW6r2rMb9z4IntfyEa
153,Say You Won't Let Go,James Arthur,225722,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
154,Don't Stop Me Now - Remastered 2011,Queen,225441,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
155,Snake Skin,Trippie Redd,224212,https://open.spotify.com/track/1usK5eLBzpQTMwDt8SR2dr
156,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,223801,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
157,Perfect,Ed Sheeran,223453,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
158,Robbery,Juice WRLD,223361,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
159,MIA (feat. Drake),Bad Bunny,223134,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
160,Simple,Florida Georgia Line,221301,https://open.spotify.com/track/4L9Ds4mpD3SuYoWwFUlv16
161,Better Luck Next Time,Kelsea Ballerini,221189,https://open.spotify.com/track/7vejWqYK7NFsxbxQsAjTrC
162,Speechless,Dan + Shay,221179,https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF
163,Juice,Lizzo,220967,https://open.spotify.com/track/0k664IuFwVP557Gnx7RhIl
164,Jesus In LA,Alec Benjamin,219994,https://open.spotify.com/track/5i2JGF65pHKSfMEjSMrBC3
165,Psycho (feat. Ty Dolla $ign),Post Malone,219898,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
166,This Feeling,The Chainsmokers,219684,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
167,All For Us - from the HBO Original Series Euphoria,Labrinth,219083,https://open.spotify.com/track/10hMM5nsZQf66ldBlgWBfG
168,Sweet Home Alabama,Lynyrd Skynyrd,218475,https://open.spotify.com/track/7e89621JPkKaeDSTQ3avtg
169,Body Like A Back Road,Sam Hunt,218317,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO
170,Mo Bamba,Sheck Wes,217742,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
171,3 Nights,Dominic Fike,216871,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
172,fast (Remix) [feat. Offset & A Boogie Wit da Hoodie],Sueco,216206,https://open.spotify.com/track/2xKQj6P0TgxBVaRiojP2s2
173,Baby Sitter (feat. Offset),DaBaby,214258,https://open.spotify.com/track/7f1zjZG77S891Uv4O68yfk
174,Summer Of '69,Bryan Adams,214121,https://open.spotify.com/track/6N1EjQjnvhOjFrF6oUmGPa
175,Lost In Japan,Shawn Mendes,214109,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV
176,comethru,Jeremy Zucker,213236,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
177,Walk Me Home,P!nk,212889,https://open.spotify.com/track/6jfEZdUJ2Yla6h7gTJgKuo
178,Leave Me Alone,Flipp Dinero,212874,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
179,2002,Anne-Marie,212631,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
180,Brown Eyed Girl,Van Morrison,212571,https://open.spotify.com/track/3yrSvpt2l1xhsV9Em88Pul
181,Rooting For You,Alessia Cara,212069,https://open.spotify.com/track/1spZPzBLYeVTvd0iDWXgC2
182,When It Rains It Pours,Luke Combs,211475,https://open.spotify.com/track/1mMLMZYXkMueg65jRRWG1l
183,Young Dumb & Broke,Khalid,210933,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
184,Havana (feat. Young Thug),Camila Cabello,210664,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
185,Leave Me Alone,NF,210571,https://open.spotify.com/track/3EtyEzMpfKSaoVhPunvbRV
186,Outnumbered,Dermot Kennedy,210339,https://open.spotify.com/track/6UjZ2Yx2g2a52XxiA8ONxZ
187,Mr. Brightside,The Killers,210133,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
188,Another One Bites The Dust - Remastered 2011,Queen,209976,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
189,Freaky,Tory Lanez,209623,https://open.spotify.com/track/7EAaSaj1OgZgMX5yZyFXFC
190,Let Me Down Slowly,Alec Benjamin,209142,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
191,Faucet Failure,Ski Mask The Slump God,208545,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN
192,Ric Flair Drip (& Metro Boomin),Offset,208221,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
193,In My Feelings,Drake,207513,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
194,I Fall Apart,Post Malone,206971,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
195,Isis,Joyner Lucas,206603,https://open.spotify.com/track/36TO60sxDduIsO3xH8IcUh
196,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,205600,https://open.spotify.com/track/3gdewACMIVMEWVbyb8O9sY
197,Clout (feat. Cardi B),Offset,205578,https://open.spotify.com/track/59ywHNwwchG4nZJMLyxSzd
198,Intro,Quality Control,205445,https://open.spotify.com/track/7tbyiwnLhtKYXNMjCZ60BT
199,Riptide,Vance Joy,204531,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
200,Instagram,Dimitri Vegas & Like Mike,204298,https://open.spotify.com/track/0U6bQIAh6MCGo1xjbIIx2S
