,ArtistID,MusicID
292,18ISxWwWjV6rPLoVCXf1dz,06ieFuGkwHCOFP2cmOBmgb
293,6SGVQ8bD0Hab6BItkqWVuJ,06m5d7tSmOjGwdqvsLN1l1
294,5pVRwX5ZQR7hfJ18w8ZYkl,06mDx5gBSdL4lvjBz7MQgJ
295,3drqpTL4sQOckmAfF9i1wg,06omSpahBsBYZxnzieTMI0
296,1G0YV9WooUBjrwDq0Q7EFK,06paPnT9vsd9qonDCsOzTX
297,18ISxWwWjV6rPLoVCXf1dz,06pbKFx2Iut0MRs1XjV9Mc
298,0SuC1Z51R9kleDO1pj3Gub,06r4R5BtrjSXhtu6F6wL3k
299,2R21vXR83lH98kGeO99Y66,06s3QtMJVXw1AJX3UfvZG1
300,181bsRPaVXVlUKXrxwZfHK,06scTb0zbkxYNgpAB3J9fN
301,7tYKF4w9nC0nq9CsPZTHyP,06u5LrUpbosQlQ1QJFhPpG
302,6gto7HVNhu4ARE3P3g8Y5Y,06uqeKPXYhw6jSeqv9j4lW
303,0wwDZj4zgZORjTGhTujAKx,06xtJscJRJBZjTThCy46iq
304,4MRRW42s9ymwa5zu4xTKJh,06yMmDMamTHyLnLoCYLEVu
305,4mg1S6eUvRL9IZKzEShYB8,070Pfkehv3PXI2WNtFswLc
306,5xkAtLTf309LAGZTbvULBn,072PI4U52gO1NasX4Lpv7Z
307,4nDoRrQiYLoBzwC5BhVJzF,073ILU1C3APNRGF66VhtyA
308,0HDMwoCS316xhKCZlJPBnc,075eujOS98sspI02wt3uBT
