,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
163,"Just the Way You Are","Bruno Mars",39144,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
164,"I WANT YOU BACK",TWICE,39021,https://open.spotify.com/track/54w5JUSWCJu64pnw8alImP
165,"Despacito - Remix","Luis Fonsi",38536,https://open.spotify.com/track/6rPO02ozF3bM7NnOV4h6s2
166,FRIENDS,Marshmello,38515,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
167,"Body (feat. brando)","Loud Luxury",38198,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
168,"How Long","Charlie Puth",38137,https://open.spotify.com/track/6wmAHw1szh5RCKSRjiXhPe
169,"Intro: Singularity",BTS,37828,https://open.spotify.com/track/6ePyl2ns4b7MVYhjsj32ZK
170,"In My Mind",Dynoro,37727,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
171,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",37673,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
172,栞,"Creep Hyp",37604,https://open.spotify.com/track/1M7ZbLwoNgv0Kb4OvwPwpt
173,Anpanman,BTS,37548,https://open.spotify.com/track/4lRwa7PKcGIuJMwtPIYKdy
174,"Trivia 轉 : Seesaw",BTS,37419,https://open.spotify.com/track/1ZPpGPko8oULTmi34rozMh
175,楓,SPITZ,37281,https://open.spotify.com/track/73xYYths9kvmFvYsd9gC9Z
176,"Outro: Tear",BTS,37256,https://open.spotify.com/track/5p10VwQ8LRoyTc8LFrvPw6
177,"Answer : Love Myself",BTS,37152,https://open.spotify.com/track/4eVkn18rN4GguUWOsR6Use
178,"BBoom BBoom",MOMOLAND,37038,https://open.spotify.com/track/3BPoSr2pO34Aan6alFfVto
179,"BOOMBAYAH - KR Ver.",BLACKPINK,36984,https://open.spotify.com/track/1qAPA8TooLVEqAZ58fhcrt
