r,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
128,Fick Dein Ex,Lil Lano,563484,https://open.spotify.com/track/4WUbJBhwg1MB25H5dzvUbP
129,Perfekt (feat. Sofiane),RAF Camora,562381,https://open.spotify.com/track/38KR9aB0bPkjM4gKhKr7tr
130,thank you,Lena,558685,https://open.spotify.com/track/6dcWHkIgaklSNeT8tQRfpS
131,Warnung,Kontra K,557118,https://open.spotify.com/track/3OgD9c7c6GhEWUK660Ezbr
132,lovely,Billie Eilish,550382,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
133,Mensch ist Mensch,Moe Phoenix,544291,https://open.spotify.com/track/6TL1DkAhIwI2G77mrOU3Ge
134,Last Hurrah,Bebe Rexha,531392,https://open.spotify.com/track/0i0wnv9UoFdZ5MfuFGQzMy
135,Open Up,Matt Simons,531269,https://open.spotify.com/track/7KgqURVRaVhqgyKno2mc1D
136,Sunset Lover,Petit Biscuit,517730,https://open.spotify.com/track/3WRQUvzRvBDr4AxMWhXc5E
137,Power Over Me,Dermot Kennedy,517686,https://open.spotify.com/track/0OGNtqKkjI7FCE9HZ4Khgo
138,Wie Buffon,MERO,515276,https://open.spotify.com/track/09Yoq7UUSqh9aJSBoRMDfA
139,Kampfgeist 4,Kontra K,511092,https://open.spotify.com/track/3TqjrBoN0waDh5nFINL2R8
140,Eastside (with Halsey & Khalid),benny blanco,511085,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
141,UFF,Veysel,505335,https://open.spotify.com/track/3Rq0ElVcisouAl71RtnTUS
142,Dunkel,Nimo,505294,https://open.spotify.com/track/7oucWf5O0GQOdUWTAIGP9u
143,Ohne mein Team,Bonez MC,501945,https://open.spotify.com/track/05Mp2UJulSttxQ4E6hQPH3
144,Shem Shem & Sex,Nimo,492782,https://open.spotify.com/track/6sOEMx5vECgoCAyIU9eb7b
145,Kamehameha,Azet,490279,https://open.spotify.com/track/0qzX2dAs1otoAABKNHUwRb
146,you should see me in a crown,Billie Eilish,486573,https://open.spotify.com/track/3XF5xLJHOQQRbWya6hBp7d
147,Lelele,Azet,485118,https://open.spotify.com/track/61A9J4906Zkuqd22oasZVR
148,Meer,Luciano,484982,https://open.spotify.com/track/1LcvTvRfWrQjrF6aymfugd
149,Mercedes,Eno,478699,https://open.spotify.com/track/3FHppoOv1gMexzC9XyMCFz
150,Tamam Tamam,Summer Cem,474855,https://open.spotify.com/track/2eRq2jwsZtb0uGH4qUsvT1
151,Kaum Erwarten,Wincent Weiss,474661,https://open.spotify.com/track/6UR0WjQTWLgyVWxAaXfrH5
152,rockstar (feat. 21 Savage),Post Malone,473719,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
153,MONOPOLY (with Victoria Monét),Ariana Grande,471268,https://open.spotify.com/track/6tsOcBnaKgzK22yEiqRh8P
154,G Klasse (feat. Lil Lano & M.O.030),King Khalil,470709,https://open.spotify.com/track/6Xt6kg1kGrZCi4gJhijxeT
155,Pure Water (with Migos),Mustard,467971,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
156,R.I.P. (feat. Rita Ora & Anitta),Sofía Reyes,465293,https://open.spotify.com/track/6JqpFboOH2bq9pzaYbkKBn
157,Walk Me Home,P!nk,462867,https://open.spotify.com/track/7DHApOHsIFo7EyfieArYGE
158,Blah Blah Blah,Armin van Buuren,460287,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
159,Going Bad (feat. Drake),Meek Mill,459727,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
160,One Night Stand,Capital Bra,456363,https://open.spotify.com/track/3AXtDUSO78KrGa9Rq8rWUS
161,HaifischNikez Allstars,LX,455959,https://open.spotify.com/track/0kLA41xkWzzYzMIEGFuDkP
162,Cocaine,Jigzaw,455693,https://open.spotify.com/track/7FYjrLXjsfYlPNtkFZuDbq
163,Promises (with Sam Smith),Calvin Harris,448796,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
164,On My Way,Alan Walker,448570,https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq
165,Abfahrt,FiNCH,446846,https://open.spotify.com/track/7sIQ5eF9ZmZY6lGGwZKaP9
166,Better Now,Post Malone,445924,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
167,"5 Minuten (feat. Cro, AnnenMayKantereit & Trettmann)",KitschKrieg,443952,https://open.spotify.com/track/1rciHe0jRJnF3J6CuAwOH0
168,Farben,Kontra K,441815,https://open.spotify.com/track/6hFmSZIw5gmn9mK4hfqozy
169,Allein,Capital Bra,440255,https://open.spotify.com/track/4tW7mc0pab35DznfVlr3px
170,Lambo Diablo GT (feat. Nimo & Juju) - Remix,Capo,440216,https://open.spotify.com/track/3TMW1GOB1lsmvf8er2dE8g
171,Hops,MERO,439184,https://open.spotify.com/track/4fgV3PU9JBlpJu0w4Yhr76
172,Leyla,Nimo,438660,https://open.spotify.com/track/5T0W70OajiqDhVi91gmnFg
173,So Close,NOTD,437849,https://open.spotify.com/track/7FjZU7XFs7P9jHI9Z0yRhK
174,Nevermind,Dennis Lloyd,437647,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
175,Vagabund,Bausa,433987,https://open.spotify.com/track/3yhaXZury9ZUpfXvdvuWiB
176,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,433225,https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z
177,MIDDLE CHILD,J. Cole,432042,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
178,Rise,Jonas Blue,431584,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
179,#niemalsantäuschen,Farid Bang,429964,https://open.spotify.com/track/4mI0sGmXHviRF9QbY4bfq7
180,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,428675,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
181,Why so Serious,Alice Merton,428651,https://open.spotify.com/track/1FBzp2RXC04zE31DSCOqAY
182,"thank u, next",Ariana Grande,420537,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
183,BONNIE & CLYDE,Loredana,417525,https://open.spotify.com/track/5UtiebKGhsSce9gX1qCqic
184,Zoey,Nimo,414070,https://open.spotify.com/track/0Kd1QMAhIFhqltE5eQkVzX
185,Diablo,Luciano,412205,https://open.spotify.com/track/76nfoEXEghZn7YPfJq5abF
186,Taste (feat. Offset),Tyga,411780,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
